code,region_moderne
01,Guadeloupe
02,Martinique
03,Guyane
04,La Réunion
06,Mayotte
11,Île-de-France
21,Grand Est
22,Hauts-de-France
24,Centre-Val de Loire
26,Bourgogne-Franche-Comté
27,Bourgogne-Franche-Comté
28,Normandie
23,Normandie
25,Normandie
31,Hauts-de-France
32,Hauts-de-France
41,Grand Est
42,Grand Est
43,Bourgogne-Franche-Comté
44,Grand Est
52,Pays de la Loire
53,Bretagne
54,Nouvelle-Aquitaine
72,Nouvelle-Aquitaine
73,Occitanie
74,Nouvelle-Aquitaine
76,Occitanie
82,Auvergne-Rhône-Alpes
83,Auvergne-Rhône-Alpes
84,Auvergne-Rhône-Alpes
91,Occitanie
93,Provence-Alpes-Côte d'Azur
94,Corse
