nom,region_moderne
Alsace,Grand Est
Champagne-Ardenne,Grand Est
Lorraine,Grand Est
Aquitaine,Nouvelle-Aquitaine
Limousin,Nouvelle-Aquitaine
Poitou-Charentes,Nouvelle-Aquitaine
Bourgogne,Bourgogne-Franche-Comté
Franche-Comté,Bourgogne-Franche-Comté
Basse-Normandie,Normandie
Haute-Normandie,Normandie
Languedoc-Roussillon,Occitanie
Midi-Pyrénées,Occitanie
Nord-Pas-de-Calais,Hauts-de-France
Picardie,Hauts-de-France
Auvergne,Auvergne-Rhône-Alpes
Rhône-Alpes,Auvergne-Rhône-Alpes
Bretagne,Bretagne
Centre,Centre-Val de Loire
Centre-Val de Loire,Centre-Val de Loire
Corse,Corse
Île-de-France,Île-de-France
Ile-de-France,Île-de-France
Pays de la Loire,Pays de la Loire
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur
Guadeloupe,Guadeloupe
Martinique,Martinique
Guyane,Guyane
Réunion,La Réunion
La Réunion,La Réunion
Mayotte,Mayotte
Provence - Alpes - Côte d'azur,Provence-Alpes-Côte d'Azur
Provence-Alpes-Cote d'Azur,Provence-Alpes-Côte d'Azur
