periode,region,fonds,montant_ue
2021-2027,Île-de-France,FEDER,183944856
2021-2027,Île-de-France,FSE+,245106248
2021-2027,national,FTJ,308985780
2021-2027,national,FSE+,4589233748
2021-2027,Provence-Alpes-Côte d'Azur,FEDER,351275069
2021-2027,Provence-Alpes-Côte d'Azur,FSE+,138920526
2021-2027,Provence-Alpes-Côte d'Azur,FTJ,147798198
2021-2027,La Réunion,FEDER,1236356560
2021-2027,La Réunion,FSE+,173350261
2021-2027,Pays de la Loire,FEDER,301215318
2021-2027,Pays de la Loire,FSE+,64532857
2021-2027,Pays de la Loire,FTJ,48304777
2021-2027,Occitanie,FEDER,666057162
2021-2027,Occitanie,FSE+,163629196
2021-2027,Nouvelle-Aquitaine,FEDER,735539606
2021-2027,Nouvelle-Aquitaine,FSE+,140130727
2021-2027,Normandie,FEDER,401531295
2021-2027,Normandie,FSE+,88505825
2021-2027,Normandie,FTJ,106703089
2021-2027,Martinique,FEDER,481751471
2021-2027,Martinique,FSE+,118846552
2021-2027,Hauts-de-France,FEDER,897423853
2021-2027,Hauts-de-France,FSE+,232447433
2021-2027,Hauts-de-France,FTJ,227825515
2021-2027,Centre-Val de Loire,FEDER,309088386
2021-2027,Centre-Val de Loire,FSE+,103277468
2021-2027,Guyane,FEDER,410494589
2021-2027,Guyane,FSE+,82716168
2021-2027,Guadeloupe,FEDER,558748176
2021-2027,Guadeloupe,FSE+,79508817
2021-2027,Grand Est,FEDER,631482796
2021-2027,Grand Est,FSE+,155217122
2021-2027,Grand Est,FTJ,112470824
2021-2027,Corse,FEDER,105147777
2021-2027,Corse,FSE+,12668842
2021-2027,Bretagne,FEDER,332934921
2021-2027,Bretagne,FSE+,59955955
2021-2027,Bourgogne-Franche-Comté,FEDER,401454687
2021-2027,Bourgogne-Franche-Comté,FSE+,83571311
2021-2027,Auvergne-Rhône-Alpes,FEDER,659900049
2021-2027,Auvergne-Rhône-Alpes,FSE+,143089602
2021-2027,Auvergne-Rhône-Alpes,FTJ,77864416
2021-2027,Saint-Martin,FEDER,58837100
2021-2027,Mayotte,FEDER,347202540
