region,categorie_ue,plafond_cofinancement
Auvergne-Rhône-Alpes,Mixte : 57% Plus développée / 43% En transition (FEDER),0.5429999999999999
Bourgogne-Franche-Comté,en transition,0.6
Bretagne,en transition,0.6
Centre-Val de Loire,en transition,0.6
Corse,en transition,0.6
Grand Est,en transition,0.6
Hauts-de-France,en transition,0.6
Île-de-France,plus développée,0.5
Normandie,en transition,0.6
Nouvelle-Aquitaine,en transition,0.6
Occitanie,en transition,0.6
Pays de la Loire,en transition,0.6
Provence-Alpes-Côte d'Azur,en transition,0.6
Guadeloupe,moins développée,0.85
Martinique,en transition,0.6
Guyane,moins développée,0.85
La Réunion,moins développée,0.85
Mayotte,moins développée,0.85
Saint-Martin,moins développée,0.85
